IdBundesland,IdLandkreis,Altersgruppe,Geschlecht,AnzahlFall,AnzahlTodesfall,Meldedatum,ObjectId
9,09180,A35-A59,W,1,0,1585353600000,478322
9,09180,A60-A79,M,1,0,1585353600000,478330
9,09180,A60-A79,W,1,0,1585353600000,478337
9,09180,A80+,W,1,0,1585353600000,478345
9,09181,A15-A34,M,1,0,1585353600000,478361
9,09181,A15-A34,W,2,0,1585353600000,478371
9,09181,A35-A59,W,5,0,1585353600000,478391
9,09181,A60-A79,W,3,0,1585353600000,478403
9,09181,A80+,M,2,0,1585353600000,478406
9,09181,A80+,W,1,0,1585353600000,478407
9,09182,A00-A04,M,1,0,1585353600000,478408
9,09182,A05-A14,M,1,0,1585353600000,478414
9,09182,A15-A34,M,6,0,1585353600000,478428
9,09182,A15-A34,W,3,0,1585353600000,478440
9,09182,A35-A59,M,4,0,1585353600000,478454
9,09182,A35-A59,W,12,0,1585353600000,478469
9,09182,A60-A79,M,3,0,1585353600000,478479
9,09182,A60-A79,unbekannt,1,0,1585353600000,478480
9,09182,A60-A79,W,1,0,1585353600000,478489
9,09183,A05-A14,M,1,0,1585353600000,478498
9,09183,A05-A14,W,1,0,1585353600000,478500
9,09183,A15-A34,M,3,0,1585353600000,478507
9,09183,A15-A34,W,5,0,1585353600000,478515
9,09183,A35-A59,M,1,0,1585353600000,478522
9,09183,A35-A59,W,5,0,1585353600000,478530
9,09183,A60-A79,M,2,0,1585353600000,478536
9,09183,A80+,W,1,0,1585353600000,478556
9,09184,A15-A34,W,1,0,1585353600000,478610
9,09184,A35-A59,M,1,0,1585353600000,478631
9,09184,A35-A59,W,3,0,1585353600000,478663
9,09184,A60-A79,M,1,0,1585353600000,478677
9,09184,A60-A79,W,1,0,1585353600000,478690
9,09184,A80+,M,1,0,1585353600000,478696
9,09185,A15-A34,M,2,0,1585353600000,478715
9,09185,A35-A59,W,2,0,1585353600000,478733
9,09185,A60-A79,M,2,0,1585353600000,478738
9,09185,A80+,W,1,0,1585353600000,478747
9,09186,A05-A14,W,1,0,1585353600000,478754
9,09186,A15-A34,M,2,0,1585353600000,478762
9,09186,A15-A34,W,3,0,1585353600000,478768
9,09186,A35-A59,M,2,0,1585353600000,478780
9,09186,A35-A59,W,2,0,1585353600000,478789
9,09186,A60-A79,M,3,0,1585353600000,478799
9,09186,A60-A79,W,3,0,1585353600000,478804
9,09187,A00-A04,W,1,0,1585353600000,478811
9,09187,A05-A14,M,1,0,1585353600000,478816
9,09187,A05-A14,W,1,0,1585353600000,478818
9,09187,A15-A34,M,6,0,1585353600000,478832
9,09187,A15-A34,W,8,0,1585353600000,478848
9,09187,A35-A59,M,14,0,1585353600000,478868
9,09187,A35-A59,W,14,0,1585353600000,478889
9,09187,A60-A79,M,11,0,1585353600000,478903
9,09187,A60-A79,W,5,0,1585353600000,478914
9,09187,A80+,M,2,0,1585353600000,478924
9,09187,A80+,W,4,0,1585353600000,478931
9,09188,A05-A14,M,1,0,1585353600000,478950
9,09188,A15-A34,M,4,0,1585353600000,478970
9,09188,A35-A59,M,3,0,1585353600000,479006
9,09188,A35-A59,W,3,0,1585353600000,479027
9,09188,A60-A79,M,1,0,1585353600000,479040
9,09188,A60-A79,W,2,0,1585353600000,479052
9,09189,A00-A04,M,1,0,1585353600000,479061
9,09189,A05-A14,W,2,0,1585353600000,479065
9,09189,A15-A34,M,5,0,1585353600000,479076
9,09189,A15-A34,W,6,0,1585353600000,479089
9,09189,A35-A59,M,4,0,1585353600000,479103
9,09189,A35-A59,W,4,0,1585353600000,479116
9,09189,A60-A79,M,2,0,1585353600000,479128
9,09189,A60-A79,W,3,0,1585353600000,479134
9,09189,A80+,M,1,0,1585353600000,479140
9,09190,A05-A14,W,1,0,1585353600000,479154
9,09190,A15-A34,M,5,0,1585353600000,479168
9,09190,A35-A59,M,5,0,1585353600000,479192
9,09190,A35-A59,unbekannt,1,0,1585353600000,479195
9,09190,A35-A59,W,3,0,1585353600000,479211
9,09190,A60-A79,M,1,0,1585353600000,479223
9,09261,A35-A59,W,1,0,1585353600000,479264
9,09261,A60-A79,M,1,0,1585353600000,479271
9,09262,A60-A79,W,1,0,1585353600000,479298
9,09262,A80+,M,1,1,1585353600000,479300
9,09262,A80+,M,2,0,1585353600000,479301
9,09262,A80+,W,3,0,1585353600000,479304
9,09271,A60-A79,M,1,0,1585353600000,479396
9,09272,A00-A04,W,1,0,1585353600000,479410
9,09272,A15-A34,W,3,0,1585353600000,479422
9,09272,A35-A59,M,4,0,1585353600000,479433
9,09272,A35-A59,W,2,0,1585353600000,479441
9,09272,A60-A79,W,4,0,1585353600000,479452
9,09272,A80+,M,2,0,1585353600000,479454
9,09272,A80+,W,1,0,1585353600000,479459
9,09273,A05-A14,M,1,0,1585353600000,479462
9,09273,A05-A14,W,1,0,1585353600000,479465
9,09273,A15-A34,M,1,0,1585353600000,479471
9,09273,A15-A34,W,4,0,1585353600000,479479
9,09273,A35-A59,M,2,0,1585353600000,479488
9,09273,A35-A59,W,5,0,1585353600000,479502
9,09273,A60-A79,W,6,0,1585353600000,479520
9,09273,A80+,W,1,0,1585353600000,479524
9,09274,A15-A34,W,1,0,1585353600000,479542
9,09274,A35-A59,M,1,0,1585353600000,479554
9,09274,A35-A59,W,5,0,1585353600000,479567
9,09274,A60-A79,M,5,0,1585353600000,479577
9,09274,A60-A79,W,3,0,1585353600000,479588
9,09274,A80+,M,1,0,1585353600000,479594
9,09274,A80+,W,4,0,1585353600000,479605
9,09275,A35-A59,M,2,0,1585353600000,479637
9,09277,A00-A04,M,1,0,1585353600000,479683
9,09277,A00-A04,W,1,0,1585353600000,479684
9,09277,A05-A14,W,1,0,1585353600000,479693
9,09277,A15-A34,M,2,0,1585353600000,479702
9,09277,A15-A34,W,3,0,1585353600000,479712
9,09277,A35-A59,M,2,0,1585353600000,479724
9,09277,A35-A59,W,3,0,1585353600000,479739
9,09277,A60-A79,W,1,0,1585353600000,479759
9,09277,A80+,W,1,0,1585353600000,479769
9,09278,A35-A59,W,1,0,1585353600000,479807
9,09278,A80+,M,1,0,1585353600000,479818
9,09279,A05-A14,M,2,0,1585353600000,479823
9,09279,A15-A34,W,2,0,1585353600000,479836
9,09279,A35-A59,M,5,0,1585353600000,479851
9,09279,A35-A59,W,1,0,1585353600000,479861
9,09279,A60-A79,W,2,0,1585353600000,479872
9,09362,A15-A34,M,2,0,1585353600000,479900
9,09362,A15-A34,W,2,0,1585353600000,479911
9,09362,A35-A59,M,1,0,1585353600000,479923
9,09362,A60-A79,M,1,0,1585353600000,479945
9,09363,A05-A14,W,1,0,1585353600000,479957
9,09363,A15-A34,W,2,0,1585353600000,479968
9,09363,A35-A59,W,2,0,1585353600000,479985
9,09363,A80+,M,1,0,1585353600000,479995
9,09374,A15-A34,M,2,0,1585353600000,480169
9,09374,A15-A34,W,3,0,1585353600000,480178
9,09374,A35-A59,M,4,0,1585353600000,480189
9,09374,A35-A59,W,8,0,1585353600000,480197
9,09374,A60-A79,W,3,0,1585353600000,480209
9,09374,A80+,M,1,0,1585353600000,480216
9,09374,A80+,W,4,0,1585353600000,480219
9,09375,A05-A14,W,1,0,1585353600000,480221
9,09375,A15-A34,M,2,0,1585353600000,480229
9,09375,A35-A59,M,3,0,1585353600000,480253
9,09375,A35-A59,W,3,0,1585353600000,480269
9,09375,A60-A79,M,3,0,1585353600000,480277
9,09375,A60-A79,W,3,0,1585353600000,480282
9,09376,A15-A34,M,1,0,1585353600000,480289
9,09376,A35-A59,M,5,0,1585353600000,480307
9,09376,A35-A59,W,2,0,1585353600000,480316
9,09376,A60-A79,M,1,0,1585353600000,480321
9,09376,A80+,M,1,0,1585353600000,480329
9,09377,A15-A34,M,7,0,1585353600000,480354
9,09377,A15-A34,W,7,0,1585353600000,480368
9,09377,A35-A59,M,9,0,1585353600000,480381
9,09377,A35-A59,W,12,0,1585353600000,480395
9,09377,A60-A79,M,11,0,1585353600000,480413
9,09377,A60-A79,W,3,0,1585353600000,480426
9,09377,A80+,M,4,0,1585353600000,480443
9,09377,A80+,W,2,0,1585353600000,480453
9,09462,A35-A59,W,1,0,1585353600000,480501
9,09464,A35-A59,W,2,0,1585353600000,480548
9,09472,A35-A59,W,1,0,1585353600000,480645
9,09472,A60-A79,M,2,0,1585353600000,480652
9,09472,A60-A79,W,1,0,1585353600000,480655
9,09472,A80+,M,1,0,1585353600000,480660
9,09473,A15-A34,M,1,0,1585353600000,480667
9,09473,A35-A59,W,5,0,1585353600000,480688
9,09473,A60-A79,M,1,0,1585353600000,480693
9,09475,A15-A34,M,3,0,1585353600000,480749
9,09475,A15-A34,W,2,0,1585353600000,480756
9,09475,A35-A59,M,4,0,1585353600000,480764
9,09475,A35-A59,W,3,0,1585353600000,480776
9,09475,A60-A79,M,1,0,1585353600000,480784
9,09478,A00-A04,W,1,0,1585353600000,480857
9,09478,A15-A34,W,1,0,1585353600000,480870
9,09478,A35-A59,M,5,0,1585353600000,480879
9,09478,A35-A59,W,3,0,1585353600000,480885
9,09478,A60-A79,M,2,0,1585353600000,480890
9,09479,A15-A34,M,1,0,1585353600000,480904
9,09479,A15-A34,W,2,0,1585353600000,480912
9,09479,A35-A59,M,1,0,1585353600000,480921
9,09479,A35-A59,W,2,0,1585353600000,480934
9,09479,A60-A79,M,2,0,1585353600000,480947
9,09479,A80+,M,1,0,1585353600000,480962
9,09479,A80+,W,1,0,1585353600000,480967
9,09563,A60-A79,M,1,0,1585353600000,481052
9,09563,A80+,W,1,0,1585353600000,481062
9,09564,A15-A34,M,5,0,1585353600000,481079
9,09564,A15-A34,W,5,0,1585353600000,481090
9,09564,A35-A59,M,5,0,1585353600000,481107
9,09564,A35-A59,W,5,0,1585353600000,481124
